Textbox88,Textbox84,Country,Code1,Station1,Type,Textbox41,ThermalPower,Textbox37,Code,Station,Textbox70,Textbox74,Textbox94,Textbox78,Textbox90,Textbox86,Textbox17
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -43  ,FUQING-4,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2012-11,2017-7 ,2017-9 ,88,88.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -45  ,TIANWAN-3,PWR  ,VVER V-428M,3000,1126,1045,JNPC,IZ,2012-12,2017-12,2018-2 ,87.5,87.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -46  ,TIANWAN-4,PWR  ,VVER V-428M,3000,1126,1045,JNPC,IZ,2013-9 ,2018-10,2018-12,89.9,90,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -47  ,YANGJIANG-5,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,2013-9 ,2018-5 ,2018-7 ,90.6,90.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -48  ,YANGJIANG-6,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,2013-12,2019-6 ,2019-7 ,87.6,87.6,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -5   ,QINSHAN 2-2,PWR  ,CNP-600,1930,650,610,NPQJVC,CNNC,1997-4 ,2004-3 ,2004-5 ,88.3,88.4,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -51  ,FUQING-5,PWR  ,HPR1000,3060,1150,1000,FQNP,NPIC,2015-5 ,2020-11,2021-1 ,0,0,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -53  ,TIANWAN-5,PWR  ,CNP-1000,2905,1118,1000,JNPC,SHE,2015-12,2020-8 ,2020-9 ,93.3,93.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -6   ,LING AO-1,PWR  ,M310,2905,990,950,DNMC,FRAM,1997-5 ,2002-2 ,2002-5 ,89.9,90.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -7   ,LING AO-2,PWR  ,M310,2905,990,950,DNMC,FRAM,1997-11,2002-9 ,2003-1 ,90.1,90.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -8   ,QINSHAN 3-1,PHWR ,CANDU 6,2064,728,677,TQNPC,AECL,1998-6 ,2002-11,2002-12,89.7,90.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -9   ,QINSHAN 3-2,PHWR ,CANDU 6,2064,728,677,TQNPC,AECL,1998-9 ,2003-6 ,2003-7 ,91,91.4,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -901 ,CEFR,FBR  ,BN-20,65,25,20,CIAE,IZ,2000-5 ,2011-7 ,,0,0,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CZECH REP.,CZ -23  ,TEMELIN-1,PWR  ,VVER V-320,3120,1082,1027,CEZ,ŠKODA ,1987-2 ,2000-12,2002-6 ,75.3,75.6,DH
"EAF %
2010 - 2020","UCF %
2010 - 2020",CZECH REP.,CZ -24  ,TEMELIN-2,PWR  ,VVER V-320,3120,1082,1029,CEZ,ŠKODA ,1987-2 ,2002-12,2003-4 ,77.5,77.7,DH
"EAF %
2010 - 2020","UCF %
2010 - 2020",CZECH REP.,CZ -4   ,DUKOVANY-1,PWR  ,VVER V-213,1444,500,468,CEZ,ŠKODA ,1979-1 ,1985-2 ,1985-5 ,83,83.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CZECH REP.,CZ -5   ,DUKOVANY-2,PWR  ,VVER V-213,1444,500,471,CEZ,ŠKODA ,1979-1 ,1986-1 ,1986-3 ,81.6,82.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CZECH REP.,CZ -8   ,DUKOVANY-3,PWR  ,VVER V-213,1444,500,468,CEZ,ŠKODA ,1979-3 ,1986-11,1986-12,81.2,82.7,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CZECH REP.,CZ -9   ,DUKOVANY-4,PWR  ,VVER V-213,1444,500,471,CEZ,ŠKODA ,1979-3 ,1987-6 ,1987-7 ,83.5,84.4,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FINLAND,FI -1   ,LOVIISA-1,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,1971-5 ,1977-2 ,1977-5 ,87.9,88.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FINLAND,FI -2   ,LOVIISA-2,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,1972-8 ,1980-11,1981-1 ,89.4,90.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FINLAND,FI -3   ,OLKILUOTO-1,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,1974-2 ,1978-9 ,1979-10,92.7,93.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FINLAND,FI -4   ,OLKILUOTO-2,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,1975-11,1980-2 ,1982-7 ,93.1,93.7,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -13  ,BUGEY-2,PWR  ,CP0,2785,945,910,EDF,FRAM,1972-11,1978-5 ,1979-3 ,71.9,74.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -14  ,BUGEY-3,PWR  ,CP0,2785,945,910,EDF,FRAM,1973-9 ,1978-9 ,1979-3 ,70.7,73.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -15  ,BUGEY-4,PWR  ,CP0,2785,917,880,EDF,FRAM,1974-6 ,1979-3 ,1979-7 ,74.9,76.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -16  ,BUGEY-5,PWR  ,CP0,2785,917,880,EDF,FRAM,1974-7 ,1979-7 ,1980-1 ,72.9,75.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -17  ,ST. LAURENT B-1,PWR  ,CP2,2785,956,915,EDF,FRAM,1976-5 ,1981-1 ,1983-8 ,75.9,78.1,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -18  ,TRICASTIN-1,PWR  ,CP1,2785,955,915,EDF,FRAM,1974-11,1980-5 ,1980-12,75.1,77.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -19  ,TRICASTIN-2,PWR  ,CP1,2785,955,915,EDF,FRAM,1974-12,1980-8 ,1980-12,75.6,79.1,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -20  ,GRAVELINES-1,PWR  ,CP1,2785,951,910,EDF,FRAM,1975-2 ,1980-3 ,1980-11,74.5,76.4,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -21  ,GRAVELINES-2,PWR  ,CP1,2785,951,910,EDF,FRAM,1975-3 ,1980-8 ,1980-12,77.2,79.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -22  ,DAMPIERRE-1,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-2 ,1980-3 ,1980-9 ,76,78.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -23  ,ST. LAURENT B-2,PWR  ,CP2,2785,956,915,EDF,FRAM,1976-7 ,1981-6 ,1983-8 ,75.3,77.7,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -25  ,TRICASTIN-3,PWR  ,CP1,2785,955,915,EDF,FRAM,1975-4 ,1981-2 ,1981-5 ,76.7,80.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -26  ,TRICASTIN-4,PWR  ,CP1,2785,955,915,EDF,FRAM,1975-5 ,1981-6 ,1981-11,78.6,81.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -27  ,GRAVELINES-3,PWR  ,CP1,2785,951,910,EDF,FRAM,1975-12,1980-12,1981-6 ,77.3,78.8,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -28  ,GRAVELINES-4,PWR  ,CP1,2785,951,910,EDF,FRAM,1976-4 ,1981-6 ,1981-10,78.7,80.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -29  ,DAMPIERRE-2,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-4 ,1980-12,1981-2 ,77,78.7,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -30  ,DAMPIERRE-3,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-9 ,1981-1 ,1981-5 ,78,79.8,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -31  ,DAMPIERRE-4,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-12,1981-8 ,1981-11,75.5,77.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -32  ,BLAYAIS-1,PWR  ,CP1,2785,951,910,EDF,FRAM,1977-1 ,1981-6 ,1981-12,76.5,79.4,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -33  ,BLAYAIS-2,PWR  ,CP1,2785,951,910,EDF,FRAM,1977-1 ,1982-7 ,1983-2 ,80.4,82.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -34  ,BLAYAIS-3,PWR  ,CP1,2785,951,910,EDF,FRAM,1978-4 ,1983-8 ,1983-11,78.7,80.6,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -35  ,BLAYAIS-4,PWR  ,CP1,2785,951,910,EDF,FRAM,1978-4 ,1983-5 ,1983-10,78.8,81.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -36  ,PALUEL-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1977-8 ,1984-6 ,1985-12,76.3,79,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -37  ,PALUEL-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1978-1 ,1984-9 ,1985-12,66.9,68.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -38  ,PALUEL-3,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1979-2 ,1985-9 ,1986-2 ,71.6,74.1,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -39  ,PALUEL-4,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1980-2 ,1986-4 ,1986-6 ,76.2,78.4,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -40  ,CHINON B-1,PWR  ,CP2,2785,954,905,EDF,FRAM,1977-3 ,1982-11,1984-2 ,76.4,78.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -41  ,CHINON B-2,PWR  ,CP2,2785,954,905,EDF,FRAM,1977-3 ,1983-11,1984-8 ,76.7,78.7,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -42  ,CRUAS-1,PWR  ,CP2,2785,956,915,EDF,FRAM,1978-8 ,1983-4 ,1984-4 ,76.8,79.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",FRANCE,FR -43  ,CRUAS-2,PWR  ,CP2,2785,956,915,EDF,FRAM,1978-11,1984-9 ,1985-4 ,77.3,80.4,-
