Country,Code,Name,Type,Model,Thermal,Gross,Net,Operator,Supplier,Start,Connection,Operation,Shutdown,EAF,UCF,NEA,Status
FRANCE,FR -18  ,TRICASTIN-1,PWR  ,CP1,2785,955,915,EDF,FRAM,1974-11,1980-5 ,1980-12,,75.2,78,-,Online
FRANCE,FR -19  ,TRICASTIN-2,PWR  ,CP1,2785,955,915,EDF,FRAM,1974-12,1980-8 ,1980-12,,74.9,78.4,-,Online
FRANCE,FR -20  ,GRAVELINES-1,PWR  ,CP1,2785,951,910,EDF,FRAM,1975-2 ,1980-3 ,1980-11,,74.1,76,-,Online
FRANCE,FR -21  ,GRAVELINES-2,PWR  ,CP1,2785,951,910,EDF,FRAM,1975-3 ,1980-8 ,1980-12,,76.8,79,-,Online
FRANCE,FR -22  ,DAMPIERRE-1,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-2 ,1980-3 ,1980-9 ,,74.8,77.7,-,Online
FRANCE,FR -23  ,ST. LAURENT B-2,PWR  ,CP2,2785,956,915,EDF,FRAM,1976-7 ,1981-6 ,1983-8 ,,75,77.5,-,Online
FRANCE,FR -25  ,TRICASTIN-3,PWR  ,CP1,2785,955,915,EDF,FRAM,1975-4 ,1981-2 ,1981-5 ,,76.9,80.4,-,Online
FRANCE,FR -26  ,TRICASTIN-4,PWR  ,CP1,2785,955,915,EDF,FRAM,1975-5 ,1981-6 ,1981-11,,78.8,81.3,-,Online
FRANCE,FR -27  ,GRAVELINES-3,PWR  ,CP1,2785,951,910,EDF,FRAM,1975-12,1980-12,1981-6 ,,77.4,78.9,-,Online
FRANCE,FR -28  ,GRAVELINES-4,PWR  ,CP1,2785,951,910,EDF,FRAM,1976-4 ,1981-6 ,1981-10,,78,79.5,-,Online
FRANCE,FR -29  ,DAMPIERRE-2,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-4 ,1980-12,1981-2 ,,77.1,78.8,-,Online
FRANCE,FR -30  ,DAMPIERRE-3,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-9 ,1981-1 ,1981-5 ,,77.7,79.5,-,Online
FRANCE,FR -31  ,DAMPIERRE-4,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-12,1981-8 ,1981-11,,75.7,78.1,-,Online
FRANCE,FR -32  ,BLAYAIS-1,PWR  ,CP1,2785,951,910,EDF,FRAM,1977-1 ,1981-6 ,1981-12,,76.8,79.6,-,Online
FRANCE,FR -33  ,BLAYAIS-2,PWR  ,CP1,2785,951,910,EDF,FRAM,1977-1 ,1982-7 ,1983-2 ,,80.1,82.1,-,Online
FRANCE,FR -34  ,BLAYAIS-3,PWR  ,CP1,2785,951,910,EDF,FRAM,1978-4 ,1983-8 ,1983-11,,78.8,80.8,-,Online
FRANCE,FR -35  ,BLAYAIS-4,PWR  ,CP1,2785,951,910,EDF,FRAM,1978-4 ,1983-5 ,1983-10,,78.6,81,-,Online
FRANCE,FR -36  ,PALUEL-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1977-8 ,1984-6 ,1985-12,,75.4,78.1,-,Online
FRANCE,FR -37  ,PALUEL-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1978-1 ,1984-9 ,1985-12,,67,69.3,-,Online
FRANCE,FR -38  ,PALUEL-3,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1979-2 ,1985-9 ,1986-2 ,,71.7,74.2,-,Online
FRANCE,FR -39  ,PALUEL-4,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1980-2 ,1986-4 ,1986-6 ,,76.4,78.5,-,Online
FRANCE,FR -40  ,CHINON B-1,PWR  ,CP2,2785,954,905,EDF,FRAM,1977-3 ,1982-11,1984-2 ,,76.3,78.1,-,Online
FRANCE,FR -41  ,CHINON B-2,PWR  ,CP2,2785,954,905,EDF,FRAM,1977-3 ,1983-11,1984-8 ,,76.4,78.4,-,Online
FRANCE,FR -42  ,CRUAS-1,PWR  ,CP2,2785,956,915,EDF,FRAM,1978-8 ,1983-4 ,1984-4 ,,76.2,78.7,-,Online
FRANCE,FR -43  ,CRUAS-2,PWR  ,CP2,2785,956,915,EDF,FRAM,1978-11,1984-9 ,1985-4 ,,77,80.2,-,Online
FRANCE,FR -44  ,CRUAS-3,PWR  ,CP2,2785,956,915,EDF,FRAM,1979-4 ,1984-5 ,1984-9 ,,77.1,80.6,-,Online
FRANCE,FR -45  ,CRUAS-4,PWR  ,CP2,2785,956,915,EDF,FRAM,1979-10,1984-10,1985-2 ,,75.7,78.6,-,Online
FRANCE,FR -46  ,FLAMANVILLE-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1979-12,1985-12,1986-12,,69.4,72.3,-,Online
FRANCE,FR -47  ,FLAMANVILLE-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1980-5 ,1986-7 ,1987-3 ,,73.7,75.6,-,Online
FRANCE,FR -48  ,ST. ALBAN-1,PWR  ,P4 REP 1300,3817,1381,1335,EDF,FRAM,1979-1 ,1985-8 ,1986-5 ,,75,77.3,-,Online
FRANCE,FR -49  ,ST. ALBAN-2,PWR  ,P4 REP 1300,3817,1381,1335,EDF,FRAM,1979-7 ,1986-7 ,1987-3 ,,75.6,78.4,-,Online
FRANCE,FR -50  ,CATTENOM-1,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,1979-10,1986-11,1987-4 ,,73.1,74.9,-,Online
FRANCE,FR -51  ,GRAVELINES-5,PWR  ,CP1,2785,951,910,EDF,FRAM,1979-10,1984-8 ,1985-1 ,,76.4,78.1,-,Online
FRANCE,FR -52  ,GRAVELINES-6,PWR  ,CP1,2785,951,910,EDF,FRAM,1979-10,1985-8 ,1985-10,,78.3,79.9,-,Online
FRANCE,FR -53  ,CATTENOM-2,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,1980-7 ,1987-9 ,1988-2 ,,76.8,79.1,-,Online
FRANCE,FR -54  ,BELLEVILLE-1,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1980-5 ,1987-10,1988-6 ,,75.8,77.4,-,Online
FRANCE,FR -55  ,BELLEVILLE-2,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1980-8 ,1988-7 ,1989-1 ,,77,78.9,-,Online
FRANCE,FR -56  ,CHINON B-3,PWR  ,CP2,2785,954,905,EDF,FRAM,1980-10,1986-10,1987-3 ,,77.6,79.3,-,Online
FRANCE,FR -57  ,CHINON B-4,PWR  ,CP2,2785,954,905,EDF,FRAM,1981-2 ,1987-11,1988-4 ,,78.7,80.7,-,Online
FRANCE,FR -58  ,NOGENT-1,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1981-5 ,1987-10,1988-2 ,,77.7,79.7,-,Online
FRANCE,FR -59  ,NOGENT-2,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1982-1 ,1988-12,1989-5 ,,80,82.3,-,Online
FRANCE,FR -60  ,CATTENOM-3,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,1982-6 ,1990-7 ,1991-2 ,,77.9,80,-,Online
FRANCE,FR -61  ,GOLFECH-1,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1982-11,1990-6 ,1991-2 ,,82.9,85.8,-,Online
FRANCE,FR -62  ,CHOOZ B-1,PWR  ,N4 REP 1450,4270,1560,1500,EDF,FRAM,1984-1 ,1996-8 ,2000-5 ,,77.6,81,-,Online
FRANCE,FR -63  ,PENLY-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1982-9 ,1990-5 ,1990-12,,80.4,81.8,-,Online
FRANCE,FR -64  ,PENLY-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1984-8 ,1992-2 ,1992-11,,82.4,83.7,-,Online
FRANCE,FR -65  ,CATTENOM-4,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,1983-9 ,1991-5 ,1992-1 ,,81.8,84.2,-,Online
FRANCE,FR -68  ,GOLFECH-2,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1984-10,1993-6 ,1994-3 ,,82.2,83.8,-,Online
FRANCE,FR -70  ,CHOOZ B-2,PWR  ,N4 REP 1450,4270,1560,1500,EDF,FRAM,1985-12,1997-4 ,2000-9 ,,75.9,83.2,-,Online
FRANCE,FR -72  ,CIVAUX-1,PWR  ,N4 REP 1450,4270,1561,1495,EDF,FRAM,1988-10,1997-12,2002-1 ,,75.2,78,-,Online
FRANCE,FR -73  ,CIVAUX-2,PWR  ,N4 REP 1450,4270,1561,1495,EDF,FRAM,1991-4 ,1999-12,2002-4 ,,76.1,80.9,-,Online
GERMANY,DE -31  ,ISAR-2,PWR  ,Konvoi,3950,1485,1410,PElektra,KWU,1982-9 ,1988-1 ,1988-4 ,,92.4,92.7,-,Online
GERMANY,DE -33  ,EMSLAND,PWR  ,Konvoi,3850,1406,1335,KLE,KWU,1982-8 ,1988-4 ,1988-6 ,,93.3,93.5,-,Online
GERMANY,DE -44  ,NECKARWESTHEIM-2,PWR  ,Konvoi,3850,1400,1310,EnKK,KWU,1982-11,1989-1 ,1989-4 ,,92.3,92.6,-,Online
HUNGARY,HU -1   ,PAKS-1,PWR  ,VVER V-213,1485,509,479,PAKS Zrt,AEE,1974-8 ,1982-12,1983-8 ,,86.8,87,-,Online
HUNGARY,HU -2   ,PAKS-2,PWR  ,VVER V-213,1485,506,479,PAKS Zrt,AEE,1974-8 ,1984-9 ,1984-11,,82.7,82.9,DH,Online
