Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Construction_time
FINLAND,FI -1   ,LOVIISA-1,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,87.9,88.5,1971-05-01,1977-02-01,1977-05-01 00:00:00,2103
FINLAND,FI -2   ,LOVIISA-2,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,89.4,90.2,1972-08-01,1980-11-01,1981-01-01 00:00:00,3014
FINLAND,FI -3   ,OLKILUOTO-1,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,92.7,93.2,1974-02-01,1978-09-01,1979-10-01 00:00:00,1673
FINLAND,FI -4   ,OLKILUOTO-2,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,93.1,93.7,1975-11-01,1980-02-01,1982-07-01 00:00:00,1553
FRANCE,FR -13  ,BUGEY-2,PWR  ,CP0,2785,945,910,EDF,FRAM,71.9,74.2,1972-11-01,1978-05-01,1979-03-01 00:00:00,2007
FRANCE,FR -14  ,BUGEY-3,PWR  ,CP0,2785,945,910,EDF,FRAM,70.7,73.2,1973-09-01,1978-09-01,1979-03-01 00:00:00,1826
FRANCE,FR -15  ,BUGEY-4,PWR  ,CP0,2785,917,880,EDF,FRAM,74.9,76.9,1974-06-01,1979-03-01,1979-07-01 00:00:00,1734
FRANCE,FR -16  ,BUGEY-5,PWR  ,CP0,2785,917,880,EDF,FRAM,72.9,75.2,1974-07-01,1979-07-01,1980-01-01 00:00:00,1826
FRANCE,FR -17  ,ST. LAURENT B-1,PWR  ,CP2,2785,956,915,EDF,FRAM,75.9,78.1,1976-05-01,1981-01-01,1983-08-01 00:00:00,1706
FRANCE,FR -18  ,TRICASTIN-1,PWR  ,CP1,2785,955,915,EDF,FRAM,75.1,77.9,1974-11-01,1980-05-01,1980-12-01 00:00:00,2008
FRANCE,FR -19  ,TRICASTIN-2,PWR  ,CP1,2785,955,915,EDF,FRAM,75.6,79.1,1974-12-01,1980-08-01,1980-12-01 00:00:00,2070
FRANCE,FR -20  ,GRAVELINES-1,PWR  ,CP1,2785,951,910,EDF,FRAM,74.5,76.4,1975-02-01,1980-03-01,1980-11-01 00:00:00,1855
FRANCE,FR -21  ,GRAVELINES-2,PWR  ,CP1,2785,951,910,EDF,FRAM,77.2,79.5,1975-03-01,1980-08-01,1980-12-01 00:00:00,1980
FRANCE,FR -22  ,DAMPIERRE-1,PWR  ,CP1,2785,937,890,EDF,FRAM,76.0,78.5,1975-02-01,1980-03-01,1980-09-01 00:00:00,1855
FRANCE,FR -23  ,ST. LAURENT B-2,PWR  ,CP2,2785,956,915,EDF,FRAM,75.3,77.7,1976-07-01,1981-06-01,1983-08-01 00:00:00,1796
FRANCE,FR -25  ,TRICASTIN-3,PWR  ,CP1,2785,955,915,EDF,FRAM,76.7,80.3,1975-04-01,1981-02-01,1981-05-01 00:00:00,2133
FRANCE,FR -26  ,TRICASTIN-4,PWR  ,CP1,2785,955,915,EDF,FRAM,78.6,81.2,1975-05-01,1981-06-01,1981-11-01 00:00:00,2223
FRANCE,FR -27  ,GRAVELINES-3,PWR  ,CP1,2785,951,910,EDF,FRAM,77.3,78.8,1975-12-01,1980-12-01,1981-06-01 00:00:00,1827
FRANCE,FR -28  ,GRAVELINES-4,PWR  ,CP1,2785,951,910,EDF,FRAM,78.7,80.2,1976-04-01,1981-06-01,1981-10-01 00:00:00,1887
FRANCE,FR -29  ,DAMPIERRE-2,PWR  ,CP1,2785,937,890,EDF,FRAM,77.0,78.7,1975-04-01,1980-12-01,1981-02-01 00:00:00,2071
FRANCE,FR -30  ,DAMPIERRE-3,PWR  ,CP1,2785,937,890,EDF,FRAM,78.0,79.8,1975-09-01,1981-01-01,1981-05-01 00:00:00,1949
FRANCE,FR -31  ,DAMPIERRE-4,PWR  ,CP1,2785,937,890,EDF,FRAM,75.5,77.9,1975-12-01,1981-08-01,1981-11-01 00:00:00,2070
FRANCE,FR -32  ,BLAYAIS-1,PWR  ,CP1,2785,951,910,EDF,FRAM,76.5,79.4,1977-01-01,1981-06-01,1981-12-01 00:00:00,1612
FRANCE,FR -33  ,BLAYAIS-2,PWR  ,CP1,2785,951,910,EDF,FRAM,80.4,82.5,1977-01-01,1982-07-01,1983-02-01 00:00:00,2007
FRANCE,FR -34  ,BLAYAIS-3,PWR  ,CP1,2785,951,910,EDF,FRAM,78.7,80.6,1978-04-01,1983-08-01,1983-11-01 00:00:00,1948
FRANCE,FR -35  ,BLAYAIS-4,PWR  ,CP1,2785,951,910,EDF,FRAM,78.8,81.2,1978-04-01,1983-05-01,1983-10-01 00:00:00,1856
FRANCE,FR -36  ,PALUEL-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,76.3,79.0,1977-08-01,1984-06-01,1985-12-01 00:00:00,2496
FRANCE,FR -37  ,PALUEL-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,66.9,68.9,1978-01-01,1984-09-01,1985-12-01 00:00:00,2435
FRANCE,FR -38  ,PALUEL-3,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,71.6,74.1,1979-02-01,1985-09-01,1986-02-01 00:00:00,2404
FRANCE,FR -39  ,PALUEL-4,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,76.2,78.4,1980-02-01,1986-04-01,1986-06-01 00:00:00,2251
FRANCE,FR -40  ,CHINON B-1,PWR  ,CP2,2785,954,905,EDF,FRAM,76.4,78.3,1977-03-01,1982-11-01,1984-02-01 00:00:00,2071
FRANCE,FR -41  ,CHINON B-2,PWR  ,CP2,2785,954,905,EDF,FRAM,76.7,78.7,1977-03-01,1983-11-01,1984-08-01 00:00:00,2436
FRANCE,FR -42  ,CRUAS-1,PWR  ,CP2,2785,956,915,EDF,FRAM,76.8,79.3,1978-08-01,1983-04-01,1984-04-01 00:00:00,1704
FRANCE,FR -43  ,CRUAS-2,PWR  ,CP2,2785,956,915,EDF,FRAM,77.3,80.4,1978-11-01,1984-09-01,1985-04-01 00:00:00,2131
FRANCE,FR -44  ,CRUAS-3,PWR  ,CP2,2785,956,915,EDF,FRAM,77.0,80.5,1979-04-01,1984-05-01,1984-09-01 00:00:00,1857
FRANCE,FR -45  ,CRUAS-4,PWR  ,CP2,2785,956,915,EDF,FRAM,75.7,78.2,1979-10-01,1984-10-01,1985-02-01 00:00:00,1827
FRANCE,FR -46  ,FLAMANVILLE-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,69.8,72.5,1979-12-01,1985-12-01,1986-12-01 00:00:00,2192
FRANCE,FR -47  ,FLAMANVILLE-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,73.1,75.1,1980-05-01,1986-07-01,1987-03-01 00:00:00,2252
FRANCE,FR -48  ,ST. ALBAN-1,PWR  ,P4 REP 1300,3817,1381,1335,EDF,FRAM,74.7,77.1,1979-01-01,1985-08-01,1986-05-01 00:00:00,2404
FRANCE,FR -49  ,ST. ALBAN-2,PWR  ,P4 REP 1300,3817,1381,1335,EDF,FRAM,75.4,78.2,1979-07-01,1986-07-01,1987-03-01 00:00:00,2557
FRANCE,FR -50  ,CATTENOM-1,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,73.3,75.1,1979-10-01,1986-11-01,1987-04-01 00:00:00,2588
FRANCE,FR -51  ,GRAVELINES-5,PWR  ,CP1,2785,951,910,EDF,FRAM,76.6,78.3,1979-10-01,1984-08-01,1985-01-01 00:00:00,1766
